,ADDRESS,BKCLASS,CBSA,CBSA_DIV,CBSA_DIV_FLG,CBSA_DIV_NO,CBSA_METRO,CBSA_METRO_FLG,CBSA_METRO_NAME,CBSA_MICRO_FLG,CBSA_NO,CERT,CITY,COUNTY,CSA,CSA_FLG,CSA_NO,ESTYMD,FI_UNINUM,MAINOFF,NAME,OFFNAME,OFFNUM,RUNDATE,SERVTYPE,STALP,STCNTY,STNAME,UNINUM,ZIP,formatted_address,tract,Sub Boro Name,Tract
11906,319 1st Avenue,SB,"New York-Newark-Jersey City, NY-NJ-PA","New York-Jersey City-White Plains, NY-NJ",1,35614.0,35620,1,"New York-Newark-Jersey City, NY-NJ-PA",0,35620,31189,New York,New York,"New York-Newark, NY-NJ-CT-PA",1,408.0,04/08/2013,44023,0,Ponce Bank,STYUVESANT BRANCH,110,11/25/2022,11,NY,36061,New York,541476,10003,"319 1st Avenue, New York, NY, 10003","('004800', 'Manhattan')",Stuyvesant Town / Turtle Bay,4800
11943,1688 Victory Blvd Ste 301,NM,"New York-Newark-Jersey City, NY-NJ-PA","New York-Jersey City-White Plains, NY-NJ",1,35614.0,35620,1,"New York-Newark-Jersey City, NY-NJ-PA",0,35620,57053,Staten Island,Richmond,"New York-Newark, NY-NJ-CT-PA",1,408.0,07/08/2013,356455,0,Signature Bank,1688 VICTORY BLVD BRANCH,28,11/25/2022,11,NY,36085,New York,557393,10314,"1688 Victory Blvd Ste 301, Staten Island, NY, 10314","('016901', 'Staten Island')",North Shore,16901
11951,1290 Avenue Of The Americas,N,"New York-Newark-Jersey City, NY-NJ-PA","New York-Jersey City-White Plains, NY-NJ",1,35614.0,35620,1,"New York-Newark-Jersey City, NY-NJ-PA",0,35620,18409,New York,New York,"New York-Newark, NY-NJ-CT-PA",1,408.0,03/14/2014,12315,0,"TD Bank, National Association",ROCKEFELLER CENTER BRANCH,1703,11/25/2022,11,NY,36061,New York,557747,10104,"1290 Avenue Of The Americas, New York, NY, 10104","('010400', 'Manhattan')",Chelsea / Clinton / Midtown,10400
11970,86 East 98th Street,N,"New York-Newark-Jersey City, NY-NJ-PA","New York-Jersey City-White Plains, NY-NJ",1,35614.0,35620,1,"New York-Newark-Jersey City, NY-NJ-PA",0,35620,628,Brooklyn,Kings,"New York-Newark, NY-NJ-CT-PA",1,408.0,11/04/2014,417,0,"JPMorgan Chase Bank, National Association",E 98TH ST BROOKLYN BRANCH,7934,11/25/2022,11,NY,36047,New York,561906,11212,"86 East 98th Street, Brooklyn, NY, 11212","('089200', 'Brooklyn')",Brownsville / Ocean Hill,89200
11986,193 W 237th Street,N,"New York-Newark-Jersey City, NY-NJ-PA","New York-Jersey City-White Plains, NY-NJ",1,35614.0,35620,1,"New York-Newark-Jersey City, NY-NJ-PA",0,35620,3510,Bronx,Bronx,"New York-Newark, NY-NJ-CT-PA",1,408.0,03/09/2015,2238,0,"Bank of America, National Association",237TH AND BROADWAY BRANCH,9764,11/25/2022,11,NY,36005,New York,567282,10463,"193 W 237th Street, Bronx, NY, 10463","('028300', 'Bronx')",Riverdale / Kingsbridge,28300
11990,642 Gateway Drive,N,"New York-Newark-Jersey City, NY-NJ-PA","New York-Jersey City-White Plains, NY-NJ",1,35614.0,35620,1,"New York-Newark-Jersey City, NY-NJ-PA",0,35620,3510,Brooklyn,Kings,"New York-Newark, NY-NJ-CT-PA",1,408.0,12/08/2014,2238,0,"Bank of America, National Association",GATEWAY CENTER BRANCH,9770,11/25/2022,11,NY,36047,New York,569020,11239,"642 Gateway Drive, Brooklyn, NY, 11239","('-1', '-1')",UNFOUND,-1
12021,1201 Avenue J,N,"New York-Newark-Jersey City, NY-NJ-PA","New York-Jersey City-White Plains, NY-NJ",1,35614.0,35620,1,"New York-Newark-Jersey City, NY-NJ-PA",0,35620,57957,Brooklyn,Kings,"New York-Newark, NY-NJ-CT-PA",1,408.0,01/25/2016,432614,0,"Citizens Bank, National Association",AVENUE J BRANCH,1916,11/25/2022,11,NY,36047,New York,575866,11201,"1201 Avenue J, Brooklyn, NY, 11201","('053000', 'Brooklyn')",Flatbush,53000
12156,"623 5th Avenue, Suite Tbd",NM,"New York-Newark-Jersey City, NY-NJ-PA","New York-Jersey City-White Plains, NY-NJ",1,35614.0,35620,1,"New York-Newark-Jersey City, NY-NJ-PA",0,35620,24823,New York,New York,"New York-Newark, NY-NJ-CT-PA",1,408.0,10/22/2018,17214,0,International Finance Bank,New York Branch,7,11/25/2022,11,NY,36061,New York,605501,10022,"623 5th Avenue, Suite Tbd, New York, NY, 10022","('010200', 'Manhattan')",Chelsea / Clinton / Midtown,10200
12180,135-34 Roosevelt Avenue,NM,"New York-Newark-Jersey City, NY-NJ-PA","New York-Jersey City-White Plains, NY-NJ",1,35614.0,35620,1,"New York-Newark-Jersey City, NY-NJ-PA",0,35620,58816,Flushing,Queens,"New York-Newark, NY-NJ-CT-PA",1,408.0,02/25/2019,469176,0,Royal Business Bank,Flushing,29,11/25/2022,11,NY,36081,New York,610147,11354,"135-34 Roosevelt Avenue, Flushing, NY, 11354","('087100', 'Queens')",Flushing / Whitestone,87100
12258,101 Delancey St,N,"New York-Newark-Jersey City, NY-NJ-PA","New York-Jersey City-White Plains, NY-NJ",1,35614.0,35620,1,"New York-Newark-Jersey City, NY-NJ-PA",0,35620,57957,New York,New York,"New York-Newark, NY-NJ-CT-PA",1,408.0,06/08/2020,432614,0,"Citizens Bank, National Association",101 Delancey Branch,1788,11/25/2022,11,NY,36061,New York,625441,10002,"101 Delancey St, New York, NY, 10002","('001800', 'Manhattan')",Lower East Side / Chinatown,1800
12303,2365 Nostrand Avenue,NM,"New York-Newark-Jersey City, NY-NJ-PA","New York-Jersey City-White Plains, NY-NJ",1,35614.0,35620,1,"New York-Newark-Jersey City, NY-NJ-PA",0,35620,58410,Brooklyn,Kings,"New York-Newark, NY-NJ-CT-PA",1,408.0,04/15/2021,451130,0,Cross River Bank,Brooklyn Branch,1,11/25/2022,11,NY,36047,New York,632580,11210,"2365 Nostrand Avenue, Brooklyn, NY, 11210","('074200', 'Brooklyn')",Flatlands / Canarsie,74200
12366,38 Westchester Square,N,"New York-Newark-Jersey City, NY-NJ-PA","New York-Jersey City-White Plains, NY-NJ",1,35614.0,35620,1,"New York-Newark-Jersey City, NY-NJ-PA",0,35620,3510,Bronx,Bronx,"New York-Newark, NY-NJ-CT-PA",1,408.0,06/13/2022,2238,0,"Bank of America, National Association",Westchester Square Branch,10041,11/25/2022,11,NY,36005,New York,647795,10461,"38 Westchester Square, Bronx, NY, 10461","('020000', 'Bronx')",Pelham Parkway,20000
12658,2100 Broadway At 73rd Street,SI,"New York-Newark-Jersey City, NY-NJ-PA","New York-Jersey City-White Plains, NY-NJ",1,35614.0,35620,1,"New York-Newark-Jersey City, NY-NJ-PA",0,35620,16068,New York,New York,"New York-Newark, NY-NJ-CT-PA",1,408.0,01/01/1859,10290,0,Apple Bank for Savings,73RD STREET,8,11/25/2022,11,NY,36061,New York,10287,10023,"2100 Broadway At 73rd Street, New York, NY, 10023","('015900', 'Manhattan')",Upper West Side,15900
12930,235 Canal Street,N,"New York-Newark-Jersey City, NY-NJ-PA","New York-Jersey City-White Plains, NY-NJ",1,35614.0,35620,1,"New York-Newark-Jersey City, NY-NJ-PA",0,35620,57957,New York,New York,"New York-Newark, NY-NJ-CT-PA",1,408.0,04/11/1977,432614,0,"Citizens Bank, National Association",CANAL STREET BRANCH,1728,11/25/2022,11,NY,36061,New York,47761,10013,"235 Canal Street, New York, NY, 10013","('004100', 'Manhattan')",Greenwich Village / Financial District,4100
12945,320 Park Avenue,NM,"New York-Newark-Jersey City, NY-NJ-PA","New York-Jersey City-White Plains, NY-NJ",1,35614.0,35620,1,"New York-Newark-Jersey City, NY-NJ-PA",0,35620,59017,New York,New York,"New York-Newark, NY-NJ-CT-PA",1,408.0,09/05/1996,497251,0,First Republic Bank,PARK AVENUE BRANCH,12,11/25/2022,11,NY,36061,New York,57133,10022,"320 Park Avenue, New York, NY, 10022","('010200', 'Manhattan')",Chelsea / Clinton / Midtown,10200
12994,77-01 31st Avenue,N,"New York-Newark-Jersey City, NY-NJ-PA","New York-Jersey City-White Plains, NY-NJ",1,35614.0,35620,1,"New York-Newark-Jersey City, NY-NJ-PA",0,35620,628,East Elmhurst,Queens,"New York-Newark, NY-NJ-CT-PA",1,408.0,05/25/1963,417,0,"JPMorgan Chase Bank, National Association",EAST ELMHURST AND 31ST AVE BRANCH,3971,11/25/2022,11,NY,36081,New York,182548,11370,"77-01 31st Avenue, East Elmhurst, NY, 11370","('030903', 'Queens')",Jackson Heights,30903
12995,345 Park Avenue,N,"New York-Newark-Jersey City, NY-NJ-PA","New York-Jersey City-White Plains, NY-NJ",1,35614.0,35620,1,"New York-Newark-Jersey City, NY-NJ-PA",0,35620,3510,New York,New York,"New York-Newark, NY-NJ-CT-PA",1,408.0,03/10/1969,2238,0,"Bank of America, National Association",345 PARK AVENUE BRANCH,8101,11/25/2022,11,NY,36061,New York,182579,10154,"345 Park Avenue, New York, NY, 10154","('010000', 'Manhattan')",Stuyvesant Town / Turtle Bay,10000
12996,2099 Broadway,N,"New York-Newark-Jersey City, NY-NJ-PA","New York-Jersey City-White Plains, NY-NJ",1,35614.0,35620,1,"New York-Newark-Jersey City, NY-NJ-PA",0,35620,628,New York City,New York,"New York-Newark, NY-NJ-CT-PA",1,408.0,01/01/1800,417,0,"JPMorgan Chase Bank, National Association",73RD STREET & BROADWAY BRANCH,803,11/25/2022,11,NY,36061,New York,182714,10023,"2099 Broadway, New York City, NY, 10023","('015900', 'Manhattan')",Upper West Side,15900
12997,104-17 Queens Boulevard,N,"New York-Newark-Jersey City, NY-NJ-PA","New York-Jersey City-White Plains, NY-NJ",1,35614.0,35620,1,"New York-Newark-Jersey City, NY-NJ-PA",0,35620,628,Forest Hills,Queens,"New York-Newark, NY-NJ-CT-PA",1,408.0,10/28/1953,417,0,"JPMorgan Chase Bank, National Association",YELLOWSTONE BRANCH,816,11/25/2022,11,NY,36081,New York,182730,11375,"104-17 Queens Boulevard, Forest Hills, NY, 11375","('071303', 'Queens')",Forest Hills / Rego Park,71303
12998,11118 Liberty Avenue,N,"New York-Newark-Jersey City, NY-NJ-PA","New York-Jersey City-White Plains, NY-NJ",1,35614.0,35620,1,"New York-Newark-Jersey City, NY-NJ-PA",0,35620,628,South Richmond Hill,Queens,"New York-Newark, NY-NJ-CT-PA",1,408.0,01/01/1800,417,0,"JPMorgan Chase Bank, National Association",RICHMOND HILL SOUTH BRANCH,828,11/25/2022,11,NY,36081,New York,182749,11419,"11118 Liberty Avenue, South Richmond Hill, NY, 11419","('-1', '-1')",UNFOUND,-1
13008,71-41 Main Street,N,"New York-Newark-Jersey City, NY-NJ-PA","New York-Jersey City-White Plains, NY-NJ",1,35614.0,35620,1,"New York-Newark-Jersey City, NY-NJ-PA",0,35620,628,Flushing,Queens,"New York-Newark, NY-NJ-CT-PA",1,408.0,11/15/1971,417,0,"JPMorgan Chase Bank, National Association",KEW GARDENS HILLS BRANCH,156,11/25/2022,11,NY,36081,New York,183274,11367,"71-41 Main Street, Flushing, NY, 11367","('077907', 'Queens')",Hillcrest / Fresh Meadows,77907
13011,51 West 51st Street,N,"New York-Newark-Jersey City, NY-NJ-PA","New York-Jersey City-White Plains, NY-NJ",1,35614.0,35620,1,"New York-Newark-Jersey City, NY-NJ-PA",0,35620,628,New York,New York,"New York-Newark, NY-NJ-CT-PA",1,408.0,07/01/1938,417,0,"JPMorgan Chase Bank, National Association",RADIO CITY BRANCH,3763,11/25/2022,11,NY,36061,New York,183527,10019,"51 West 51st Street, New York, NY, 10019","('010400', 'Manhattan')",Chelsea / Clinton / Midtown,10400
13014,1536 Westchester Avenue,N,"New York-Newark-Jersey City, NY-NJ-PA","New York-Jersey City-White Plains, NY-NJ",1,35614.0,35620,1,"New York-Newark-Jersey City, NY-NJ-PA",0,35620,628,Bronx,Bronx,"New York-Newark, NY-NJ-CT-PA",1,408.0,04/14/1927,417,0,"JPMorgan Chase Bank, National Association",BOYNTON AVENUE BRANCH,469,11/25/2022,11,NY,36005,New York,183581,10472,"1536 Westchester Avenue, Bronx, NY, 10472","('005002', 'Bronx')",Soundview / Parkchester,5002
13015,1697 Pitkin Avenue,N,"New York-Newark-Jersey City, NY-NJ-PA","New York-Jersey City-White Plains, NY-NJ",1,35614.0,35620,1,"New York-Newark-Jersey City, NY-NJ-PA",0,35620,628,Brooklyn,Kings,"New York-Newark, NY-NJ-CT-PA",1,408.0,06/29/1903,417,0,"JPMorgan Chase Bank, National Association",BROWNSVILLE BRANCH,486,11/25/2022,11,NY,36047,New York,183606,11212,"1697 Pitkin Avenue, Brooklyn, NY, 11212","('090600', 'Brooklyn')",Brownsville / Ocean Hill,90600
13016,883 Flatbush Avenue,N,"New York-Newark-Jersey City, NY-NJ-PA","New York-Jersey City-White Plains, NY-NJ",1,35614.0,35620,1,"New York-Newark-Jersey City, NY-NJ-PA",0,35620,628,Brooklyn,Kings,"New York-Newark, NY-NJ-CT-PA",1,408.0,01/01/1812,417,0,"JPMorgan Chase Bank, National Association",FLATBUSH BRANCH,491,11/25/2022,11,NY,36047,New York,183615,11226,"883 Flatbush Avenue, Brooklyn, NY, 11226","('079602', 'Brooklyn')",South Crown Heights,79602
13019,15602 Aguilar Avenue,N,"New York-Newark-Jersey City, NY-NJ-PA","New York-Jersey City-White Plains, NY-NJ",1,35614.0,35620,1,"New York-Newark-Jersey City, NY-NJ-PA",0,35620,57957,Flushing,Queens,"New York-Newark, NY-NJ-CT-PA",1,408.0,08/28/1954,432614,0,"Citizens Bank, National Association",POMONOK BRANCH,1717,11/25/2022,11,NY,36081,New York,183860,11367,"15602 Aguilar Avenue, Flushing, NY, 11367","('-1', '-1')",UNFOUND,-1
13475,8901 Queens Boulevard,N,"New York-Newark-Jersey City, NY-NJ-PA","New York-Jersey City-White Plains, NY-NJ",1,35614.0,35620,1,"New York-Newark-Jersey City, NY-NJ-PA",0,35620,3510,Elmhurst,Queens,"New York-Newark, NY-NJ-CT-PA",1,408.0,05/08/1967,2238,0,"Bank of America, National Association",ELMHURST BRANCH,8058,11/25/2022,11,NY,36081,New York,213627,11373,"8901 Queens Boulevard, Elmhurst, NY, 11373","('-1', '-1')",UNFOUND,-1
13482,5324 5th Avenue,N,"New York-Newark-Jersey City, NY-NJ-PA","New York-Jersey City-White Plains, NY-NJ",1,35614.0,35620,1,"New York-Newark-Jersey City, NY-NJ-PA",0,35620,7213,New York City,Kings,"New York-Newark, NY-NJ-CT-PA",1,408.0,06/16/1812,4759,0,"Citibank, National Association",SUNSET PARK BRANCH,51,11/25/2022,11,NY,36047,New York,214075,11220,"5324 5th Avenue, New York City, NY, 11220","('007600', 'Brooklyn')",Sunset Park,7600
13483,1078 Third Avenue,N,"New York-Newark-Jersey City, NY-NJ-PA","New York-Jersey City-White Plains, NY-NJ",1,35614.0,35620,1,"New York-Newark-Jersey City, NY-NJ-PA",0,35620,7213,New York City,New York,"New York-Newark, NY-NJ-CT-PA",1,408.0,09/21/1959,4759,0,"Citibank, National Association",THIRD AVENUE-63RD STREET BRANCH,119,11/25/2022,11,NY,36061,New York,214142,10021,"1078 Third Avenue, New York City, NY, 10021","('012000', 'Manhattan')",Upper East Side,12000
13484,4249 Broadway,N,"New York-Newark-Jersey City, NY-NJ-PA","New York-Jersey City-White Plains, NY-NJ",1,35614.0,35620,1,"New York-Newark-Jersey City, NY-NJ-PA",0,35620,7213,New York City,New York,"New York-Newark, NY-NJ-CT-PA",1,408.0,06/16/1812,4759,0,"Citibank, National Association",WASHINGTON HEIGHTS BRANCH,122,11/25/2022,11,NY,36061,New York,214145,10033,"4249 Broadway, New York City, NY, 10033","('026500', 'Manhattan')",Washington Heights / Inwood,26500
13485,87-11 Queens Boulevard,N,"New York-Newark-Jersey City, NY-NJ-PA","New York-Jersey City-White Plains, NY-NJ",1,35614.0,35620,1,"New York-Newark-Jersey City, NY-NJ-PA",0,35620,7213,Elmhurst,Queens,"New York-Newark, NY-NJ-CT-PA",1,408.0,08/27/1965,4759,0,"Citibank, National Association",ELMHURST BRANCH,131,11/25/2022,11,NY,36081,New York,214154,11373,"87-11 Queens Boulevard, Elmhurst, NY, 11373","('047300', 'Queens')",Elmhurst / Corona,47300
13487,411 Grand Street,N,"New York-Newark-Jersey City, NY-NJ-PA","New York-Jersey City-White Plains, NY-NJ",1,35614.0,35620,1,"New York-Newark-Jersey City, NY-NJ-PA",0,35620,7213,New York City,New York,"New York-Newark, NY-NJ-CT-PA",1,408.0,04/14/1966,4759,0,"Citibank, National Association",SEWARD PARK BRANCH,170,11/25/2022,11,NY,36061,New York,214193,10002,"411 Grand Street, New York City, NY, 10002","('001401', 'Manhattan')",Lower East Side / Chinatown,1401
13488,11301 Beach Channel Drive,N,"New York-Newark-Jersey City, NY-NJ-PA","New York-Jersey City-White Plains, NY-NJ",1,35614.0,35620,1,"New York-Newark-Jersey City, NY-NJ-PA",0,35620,7213,Rockaway Park,Queens,"New York-Newark, NY-NJ-CT-PA",1,408.0,05/13/1974,4759,0,"Citibank, National Association",ROCKAWAY PARK BRANCH,256,11/25/2022,11,NY,36081,New York,214278,11694,"11301 Beach Channel Drive, Rockaway Park, NY, 11694","('-1', '-1')",UNFOUND,-1
13494,2 Mott Street,N,"New York-Newark-Jersey City, NY-NJ-PA","New York-Jersey City-White Plains, NY-NJ",1,35614.0,35620,1,"New York-Newark-Jersey City, NY-NJ-PA",0,35620,7213,New York City,New York,"New York-Newark, NY-NJ-CT-PA",1,408.0,03/15/1980,4759,0,"Citibank, National Association",CHATHAM SQUARE BRANCH,545,11/25/2022,11,NY,36061,New York,214531,10013,"2 Mott Street, New York City, NY, 10013","('002900', 'Manhattan')",Lower East Side / Chinatown,2900
13586,4935 Richmond Road,N,,,0,0.0,0,0,,0,0,35274,Warsaw,Richmond,,0,0.0,06/02/1980,77239,0,"Blue Ridge Bank,  National Association",WARSAW BRANCH,19,11/25/2022,11,VA,51159,Virginia,218507,22572,"4935 Richmond Road, Warsaw, NY, 22572","('040100', '3')",UNFOUND,40100
13863,101 East 170th Street,SI,"New York-Newark-Jersey City, NY-NJ-PA","New York-Jersey City-White Plains, NY-NJ",1,35614.0,35620,1,"New York-Newark-Jersey City, NY-NJ-PA",0,35620,16068,New York City,Bronx,"New York-Newark, NY-NJ-CT-PA",1,408.0,06/24/1946,10290,0,Apple Bank for Savings,EAST 170TH STREET BRANCH,90,11/25/2022,11,NY,36005,New York,235738,10452,"101 East 170th Street, New York City, NY, 10452","('022300', 'Bronx')",Highbridge / S. Concourse,22300
13864,74 Hugh Grant Circle,SI,"New York-Newark-Jersey City, NY-NJ-PA","New York-Jersey City-White Plains, NY-NJ",1,35614.0,35620,1,"New York-Newark-Jersey City, NY-NJ-PA",0,35620,16068,Bronx,Bronx,"New York-Newark, NY-NJ-CT-PA",1,408.0,07/01/1942,10290,0,Apple Bank for Savings,PARKCHESTER BRANCH,91,11/25/2022,11,NY,36005,New York,235739,10472,"74 Hugh Grant Circle, Bronx, NY, 10472","('-1', '-1')",UNFOUND,-1
13880,1837 Victory Boulevard,N,"New York-Newark-Jersey City, NY-NJ-PA","New York-Jersey City-White Plains, NY-NJ",1,35614.0,35620,1,"New York-Newark-Jersey City, NY-NJ-PA",0,35620,29950,Staten Island,Richmond,"New York-Newark, NY-NJ-CT-PA",1,408.0,06/24/1961,42784,0,"Santander Bank, N.A.",CASTLETON CORNERS BRANCH,1061,11/25/2022,11,NY,36085,New York,236377,10314,"1837 Victory Boulevard, Staten Island, NY, 10314","('015100', 'Staten Island')",North Shore,15100
13881,475 Forest Avenue,N,"New York-Newark-Jersey City, NY-NJ-PA","New York-Jersey City-White Plains, NY-NJ",1,35614.0,35620,1,"New York-Newark-Jersey City, NY-NJ-PA",0,35620,29950,Staten Island,Richmond,"New York-Newark, NY-NJ-CT-PA",1,408.0,05/01/1973,42784,0,"Santander Bank, N.A.",WEST NEW BRIGHTON BRANCH,1066,11/25/2022,11,NY,36085,New York,236382,10301,"475 Forest Avenue, Staten Island, NY, 10301","('006700', 'Staten Island')",North Shore,6700
13888,76-02 Northern Boulevard,SI,"New York-Newark-Jersey City, NY-NJ-PA","New York-Jersey City-White Plains, NY-NJ",1,35614.0,35620,1,"New York-Newark-Jersey City, NY-NJ-PA",0,35620,16022,Jackson Heights,Queens,"New York-Newark, NY-NJ-CT-PA",1,408.0,06/28/1974,10251,0,New York Community Bank,JACKSON HEIGHTS BRANCH,6,11/25/2022,11,NY,36081,New York,236778,11372,"76-02 Northern Boulevard, Jackson Heights, NY, 11372","('028700', 'Queens')",Jackson Heights,28700
13889,645-100 Rossville Avenue,SI,"New York-Newark-Jersey City, NY-NJ-PA","New York-Jersey City-White Plains, NY-NJ",1,35614.0,35620,1,"New York-Newark-Jersey City, NY-NJ-PA",0,35620,16022,Staten Island,Richmond,"New York-Newark, NY-NJ-CT-PA",1,408.0,06/25/1983,10251,0,New York Community Bank,WOODROW PLAZA BRANCH,103,11/25/2022,11,NY,36085,New York,236836,10309,"645-100 Rossville Avenue, Staten Island, NY, 10309","('020801', 'Staten Island')",South Shore,20801
13890,1445 Richmond Avenue,SI,"New York-Newark-Jersey City, NY-NJ-PA","New York-Jersey City-White Plains, NY-NJ",1,35614.0,35620,1,"New York-Newark-Jersey City, NY-NJ-PA",0,35620,16022,Staten Island,Richmond,"New York-Newark, NY-NJ-CT-PA",1,408.0,06/30/1998,10251,0,New York Community Bank,EXPRESSWAY PLAZA BRANC,108,11/25/2022,23,NY,36085,New York,236838,10314,"1445 Richmond Avenue, Staten Island, NY, 10314","('029104', 'Staten Island')",Mid-Island,29104
13938,120 Broadway,SM,"New York-Newark-Jersey City, NY-NJ-PA","New York-Jersey City-White Plains, NY-NJ",1,35614.0,35620,1,"New York-Newark-Jersey City, NY-NJ-PA",0,35620,34968,New York City,New York,"New York-Newark, NY-NJ-CT-PA",1,408.0,12/16/1998,62142,0,Banco Popular de Puerto Rico,120 BROADWAY BRANCH,202,11/25/2022,24,NY,36061,New York,239352,10006,"120 Broadway, New York City, NY, 10006","('000700', 'Manhattan')",Greenwich Village / Financial District,700
14219,50-15 Roosevelt Avenue,NM,"New York-Newark-Jersey City, NY-NJ-PA","New York-Jersey City-White Plains, NY-NJ",1,35614.0,35620,1,"New York-Newark-Jersey City, NY-NJ-PA",0,35620,26610,Woodside,Queens,"New York-Newark, NY-NJ-CT-PA",1,408.0,11/03/1986,35331,0,Bank of Hope,WOODSIDE BRANCH,37,11/25/2022,11,NY,36081,New York,257727,11377,"50-15 Roosevelt Avenue, Woodside, NY, 11377","('025302', 'Queens')",Sunnyside / Woodside,25302
14386,569 West 235th,N,"New York-Newark-Jersey City, NY-NJ-PA","New York-Jersey City-White Plains, NY-NJ",1,35614.0,35620,1,"New York-Newark-Jersey City, NY-NJ-PA",0,35620,57957,Bronx,Bronx,"New York-Newark, NY-NJ-CT-PA",1,408.0,01/01/1896,432614,0,"Citizens Bank, National Association",RIVERDALE BRANCH,1738,11/25/2022,11,NY,36005,New York,269918,10463,"569 West 235th, Bronx, NY, 10463","('029700', 'Bronx')",Riverdale / Kingsbridge,29700
14486,63-72 108th Street,N,"New York-Newark-Jersey City, NY-NJ-PA","New York-Jersey City-White Plains, NY-NJ",1,35614.0,35620,1,"New York-Newark-Jersey City, NY-NJ-PA",0,35620,18221,Forest Hills,Queens,"New York-Newark, NY-NJ-CT-PA",1,408.0,01/01/1888,12139,0,"Webster Bank, National Association",FOREST HILLS BRANCH,366,11/25/2022,11,NY,36081,New York,277227,11375,"63-72 108th Street, Forest Hills, NY, 11375","('074300', 'Queens')",Forest Hills / Rego Park,74300
14487,489 Neptune Avenue,N,"New York-Newark-Jersey City, NY-NJ-PA","New York-Jersey City-White Plains, NY-NJ",1,35614.0,35620,1,"New York-Newark-Jersey City, NY-NJ-PA",0,35620,18221,Brooklyn,Kings,"New York-Newark, NY-NJ-CT-PA",1,408.0,10/01/1997,12139,0,"Webster Bank, National Association",CONEY ISLAND BRANCH,375,11/25/2022,11,NY,36047,New York,277245,11224,"489 Neptune Avenue, Brooklyn, NY, 11224","('035601', 'Brooklyn')",Coney Island,35601
14488,179-25 Hillside Avenue,N,"New York-Newark-Jersey City, NY-NJ-PA","New York-Jersey City-White Plains, NY-NJ",1,35614.0,35620,1,"New York-Newark-Jersey City, NY-NJ-PA",0,35620,18221,Jamaica,Queens,"New York-Newark, NY-NJ-CT-PA",1,408.0,10/01/1997,12139,0,"Webster Bank, National Association",HILLSIDE BRANCH,377,11/25/2022,11,NY,36081,New York,277249,11432,"179-25 Hillside Avenue, Jamaica, NY, 11432","('046600', 'Queens')",Hillcrest / Fresh Meadows,46600
14527,711 Allerton Ave.,SI,"New York-Newark-Jersey City, NY-NJ-PA","New York-Jersey City-White Plains, NY-NJ",1,35614.0,35620,1,"New York-Newark-Jersey City, NY-NJ-PA",0,35620,16026,Bronx,Bronx,"New York-Newark, NY-NJ-CT-PA",1,408.0,01/01/1889,10255,0,Ridgewood Savings Bank,ALLERTON AVE BRANCH,29,11/25/2022,11,NY,36005,New York,280445,10467,"711 Allerton Ave., Bronx, NY, 10467","('033800', 'Bronx')",Pelham Parkway,33800
14615,136-20 38th Avenue,NM,"New York-Newark-Jersey City, NY-NJ-PA","New York-Jersey City-White Plains, NY-NJ",1,35614.0,35620,1,"New York-Newark-Jersey City, NY-NJ-PA",0,35620,33188,Flushing,Queens,"New York-Newark, NY-NJ-CT-PA",1,408.0,04/13/1995,46425,0,Shinhan Bank America,FLUSHING BRANCH,1,11/25/2022,11,NY,36081,New York,289356,11354,"136-20 38th Avenue, Flushing, NY, 11354","('087100', 'Queens')",Flushing / Whitestone,87100
14665,7123 3rd Avenue,N,"New York-Newark-Jersey City, NY-NJ-PA","New York-Jersey City-White Plains, NY-NJ",1,35614.0,35620,1,"New York-Newark-Jersey City, NY-NJ-PA",0,35620,57957,Brooklyn,Kings,"New York-Newark, NY-NJ-CT-PA",1,408.0,05/04/2000,432614,0,"Citizens Bank, National Association",THIRD AVENUE BRANCH,1843,11/25/2022,11,NY,36047,New York,334388,11209,"7123 3rd Avenue, Brooklyn, NY, 11209","('006800', 'Brooklyn')",Bay Ridge,6800
14743,950 Third Avenue,NM,"New York-Newark-Jersey City, NY-NJ-PA","New York-Jersey City-White Plains, NY-NJ",1,35614.0,35620,1,"New York-Newark-Jersey City, NY-NJ-PA",0,35620,57053,New York,New York,"New York-Newark, NY-NJ-CT-PA",1,408.0,05/30/2001,356455,0,Signature Bank,THIRD BRANCH,2,11/25/2022,11,NY,36061,New York,360813,10022,"950 Third Avenue, New York, NY, 10022","('011203', 'Manhattan')",Stuyvesant Town / Turtle Bay,11203
14823,685 Third Avenue,N,"New York-Newark-Jersey City, NY-NJ-PA","New York-Jersey City-White Plains, NY-NJ",1,35614.0,35620,1,"New York-Newark-Jersey City, NY-NJ-PA",0,35620,18409,New York,New York,"New York-Newark, NY-NJ-CT-PA",1,408.0,05/17/2002,12315,0,"TD Bank, National Association",43RD & 3RD BRANCH,853,11/25/2022,11,NY,36061,New York,364130,10017,"685 Third Avenue, New York, NY, 10017","('008800', 'Manhattan')",Stuyvesant Town / Turtle Bay,8800
