,Hispanic,White,Black,Native,Asian,Sub_Boro_Name,Unbanked_2013,Underbanked_2013,Median_income_2013,Unemployment_2013,%_Poor_2013,Aggregate_Banking
32,0.07946007421940487,0.7775874706044941,0.028646959405882272,0.0006354549450151113,0.08814905503926197,Upper East Side,0.04,0.18,107690,0.04,0.03,0.22
33,0.14413763506112143,0.679765933483844,0.06220974651451025,0.00062455965317384,0.08567060257445398,Upper West Side,0.05,0.19,99273,0.07,0.06,0.24
34,0.46516643516425726,0.1392265572989011,0.296467440350459,0.00015010397060878286,0.07428358908185324,East Harlem,0.19,0.27,26941,0.13,0.3,0.46
35,0.22890178253254584,0.12629031548778916,0.5839747291323895,0.002471457491413364,0.03133141760999614,Central Harlem,0.2,0.3,36917,0.11,0.26,0.5
36,0.3810249776984835,0.27939178999214687,0.2253093239400108,0.0010735911922352603,0.08378868836585161,Morningside Heights / Hamilton Heights,0.15,0.26,45600,0.08,0.17,0.41000000000000003
37,0.7064562403306623,0.17065135890271788,0.07879637472002216,0.0004576073152146304,0.02676050984829243,Washington Heights / Inwood,0.18,0.3,37462,0.14,0.25,0.48
38,0.32930652399780663,0.28041061791105076,0.014715475194089294,0.0007597621864988888,0.3541502496464544,Sunnyside / Woodside,0.07,0.23,61836,0.06,0.12,0.30000000000000004
39,0.412637023060249,0.18288215246402545,0.06574298790838576,0.003129194849964744,0.2598385847849365,Kew Gardens / Woodhaven,0.07,0.25,62532,0.09,0.15,0.32
40,0.2783259716501368,0.48393017235428115,0.06595039924523093,0.0013546379179418735,0.14637476701106836,Astoria,0.1,0.23,50960,0.1,0.16,0.33
41,0.25031902388324073,0.2262543349216457,0.15827004237939438,0.0045282273116532355,0.2007395167724322,Howard Beach / S. Ozone Park,0.06,0.24,62671,0.13,0.08,0.3
42,0.1706920230627892,0.01648587720965596,0.628271786098967,0.004548569135567806,0.11418379268833555,Jamaica,0.11,0.34,51449,0.15,0.13,0.45
43,0.18413327292610537,0.3215506764568037,0.11442040306202159,0.0016154475863146384,0.3381759537572255,Hillcrest / Fresh Meadows,0.05,0.23,57531,0.09,0.11,0.28
44,0.5024994073929473,0.0649849756682516,0.08000497789924285,0.0018508303470585773,0.33478164870253924,Elmhurst / Corona,0.12,0.28,46489,0.07,0.18,0.4
45,0.6675733266537431,0.1020959465051948,0.050481322558863874,0.0009613600226525234,0.16197694996841716,Jackson Heights,0.14,0.32,49181,0.07,0.16,0.46
46,0.11662597132099656,0.12326831991508451,0.5596232576303771,0.0015015521108707843,0.1499285578386606,Bellerose / Rosedale,0.06,0.3,76885,0.1,0.07,0.36
47,0.35984337624475315,0.5399605542773844,0.013631055457009541,0.0005211249465802585,0.07706645123143482,Middle Village / Ridgewood,0.09,0.23,58564,0.08,0.1,0.32
48,0.14987548148730448,0.5185118919721545,0.030733939505105293,0.0018294945365930355,0.2679463791281258,Forest Hills / Rego Park,0.04,0.22,61654,0.06,0.08,0.26
49,0.17066385042603469,0.27034839282358447,0.020122452488434493,0.00330920003038821,0.5129074758993512,Flushing / Whitestone,0.05,0.19,50490,0.07,0.14,0.24
50,0.23868597425094815,0.34717532396545486,0.3570498919414381,0.0011008182177485138,0.03610501442182363,Rockaways,0.14,0.26,46731,0.08,0.15,0.4
51,0.11662181076079056,0.42064537477691855,0.01731260327847181,0.002161312710688082,0.41688988862449605,Bayside / Little Neck,0.03,0.16,72158,0.07,0.06,0.19
52,0.2910559049088653,0.3798865310763305,0.22494780197468411,0.0019197770068800691,0.07566239514566486,North Shore,0.11,0.23,60721,0.08,0.15,0.34
53,0.13118303023039815,0.6902370944063277,0.03688876322018156,0.0007192752494232557,0.12644852742906793,Mid-Island,0.06,0.17,68661,0.07,0.11,0.23
54,0.09987354058742672,0.8354290207754322,0.009659807552628893,0.0007861829270488802,0.04570059607061606,South Shore,0.04,0.16,85165,0.06,0.06,0.2
